"HS96","HS96part","HS02","HS02part","Comment"
"2306.70",0,"2306.70",0,
"2306.90",0,"2306.90",0,
"2307.00",0,"2307.00",0,
"2308.10",0,"2308.00",1,
"2308.90",0,"2308.00",1,
"2309.10",0,"2309.10",0,
"2309.90",0,"2309.90",0,
"2401.10",0,"2401.10",0,
"2401.20",0,"2401.20",0,
"2401.30",0,"2401.30",0,
"2402.10",0,"2402.10",0,
"2402.20",0,"2402.20",0,
"2402.90",0,"2402.90",0,
"2403.10",0,"2403.10",0,
"2403.91",0,"2403.91",0,
"2403.99",0,"2403.99",0,
"2501.00",0,"2501.00",0,
"2502.00",0,"2502.00",0,
"2503.00",0,"2503.00",0,
"2504.10",0,"2504.10",0,
"2504.90",0,"2504.90",0,
"2505.10",0,"2505.10",0,
"2505.90",0,"2505.90",0,
"2506.10",0,"2506.10",0,
"2506.21",0,"2506.21",0,
"2506.29",0,"2506.29",0,
"2507.00",0,"2507.00",0,
"2508.10",0,"2508.10",0,
"2508.20",0,"2508.20",0,
"2508.30",0,"2508.30",0,
"2508.40",0,"2508.40",0,
"2508.50",0,"2508.50",0,
"2508.60",0,"2508.60",0,
"2508.70",0,"2508.70",0,
"2509.00",0,"2509.00",0,
"2510.10",0,"2510.10",0,
"2510.20",0,"2510.20",0,
"2511.10",0,"2511.10",0,
"2511.20",0,"2511.20",0,
"2512.00",0,"2512.00",0,
"2513.11",0,"2513.11",0,
"2513.19",0,"2513.19",0,
"2513.20",0,"2513.20",0,
"2514.00",0,"2514.00",0,
"2515.11",0,"2515.11",0,
"2515.12",0,"2515.12",0,
"2515.20",0,"2515.20",0,
"2516.11",0,"2516.11",0,
"2516.12",0,"2516.12",0,
"2516.21",0,"2516.21",0,
"2516.22",0,"2516.22",0,
"2516.90",0,"2516.90",0,
"2517.10",0,"2517.10",0,
"2517.20",0,"2517.20",0,
"2517.30",0,"2517.30",0,
"2517.41",0,"2517.41",0,
"2517.49",0,"2517.49",0,
"2518.10",0,"2518.10",0,
"2518.20",0,"2518.20",0,
"2518.30",0,"2518.30",0,
"2519.10",0,"2519.10",0,
"2519.90",0,"2519.90",0,
"2520.10",0,"2520.10",0,
"2520.20",0,"2520.20",0,
"2521.00",0,"2521.00",0,
"2522.10",0,"2522.10",0,
"2522.20",0,"2522.20",0,
"2522.30",0,"2522.30",0,
"2523.10",0,"2523.10",0,
"2523.21",0,"2523.21",0,
"2523.29",0,"2523.29",0,
"2523.30",0,"2523.30",0,
"2523.90",0,"2523.90",0,
"2524.00",0,"2524.00",0,
"2525.10",0,"2525.10",0,
"2525.20",0,"2525.20",0,
"2525.30",0,"2525.30",0,
"2526.10",0,"2526.10",0,
"2526.20",0,"2526.20",0,
"2527.00",0,"2530.90",1,
"2528.10",0,"2528.10",0,
"2528.90",0,"2528.90",0,
"2529.10",0,"2529.10",0,
