From HS 2022	From HS 2007
230400	230400
230500	230500
230610	230610
230620	230620
230630	230630
230641	230641
230649	230649
230650	230650
230660	230660
230690	230690
230700	230700
230800	230800
230910	230910
230990	230990
240110	240110
240120	240120
240130	240130
240210	240210
240220	240220
240290	240290
240311	240310
240319	240310
240391	240391
240399	240399
240411	240391
240412	382490
240419	240399
240491	210690
240492	382490
240499	382490
250100	250100
250200	250200
250300	250300
250410	250410
250490	250490
250510	250510
250590	250590
250610	250610
250620	250620
250700	250700
250810	250810
250830	250830
250840	250840
250850	250850
250860	250860
250870	250870
250900	250900
251010	251010
251020	251020
251110	251110
251120	251120
251200	251200
251310	251310
251320	251320
251400	251400
251511	251511
251512	251512
251520	251520
251611	251611
251612	251612
251620	251620
251690	251690
251710	251710
251720	251720
251730	251730
251741	251741
251749	251749
251810	251810
251820	251820
251910	251910
251990	251990
252010	252010
252020	252020
252100	252100
252210	252210
252220	252220
252230	252230
252310	252310
252321	252321
252329	252329
252330	252330
252390	252390
252410	252410
252490	252490
252510	252510
252520	252520
252530	252530
252610	252610
252620	252620
252800	252890
252910	252910
252921	252921
252922	252922
252930	252930
253010	253010
253020	253020
253090	253090
260111	260111
260112	260112
260120	260120
260200	260200
260300	260300
260400	260400
260500	260500
260600	260600
260700	260700
260800	260800
260900	260900
261000	261000
261100	261100
261210	261210
261220	261220
261310	261310
261390	261390
261400	261400
261510	261510
261590	261590
261610	261610
261690	261690
261710	261710
261790	261790
261800	261800
261900	261900
262011	262011
262019	262019
262021	262021
262029	262029
262030	262030
262040	262040
262060	262060
262091	262091
262099	262099
262110	262110
262190	262190
270111	270111
270112	270112
270119	270119
270120	270120
270210	270210
270220	270220
270300	270300
270400	270400
270500	270500
270600	270600
270710	270710
270720	270720
270730	270730
270740	270740
270750	270750
270791	270791
270799	270799
270810	270810
270820	270820
270900	270900
271012	271011
271019	271019
271020	271019
271091	271091
271099	271099
271111	271111
271112	271112
271113	271113
271114	271114
271119	271119
271121	271121
271129	271129
271210	271210
271220	271220
271290	271290
271311	271311
271312	271312
271320	271320
271390	271390
271410	271410
271490	271490
271500	271500
271600	271600
280110	280110
280120	280120
280130	280130
280200	280200
280300	280300
280410	280410
280421	280421
280429	280429
280430	280430
280440	280440
280450	280450
280461	280461
280469	280469
280470	280470
280480	280480
280490	280490
280511	280511
280512	280512
280519	280519
280530	280530
280540	280540
280610	280610
280620	280620
280700	280700
280800	280800
280910	280910
280920	280920
281000	281000
281111	281111
281112	281119
281119	281119
281121	281121
281122	281122
281129	281129
281211	281210
281212	281210
281213	281210
281214	281210
281215	281210
281216	281210
281217	281210
281219	281210
281290	281290
281310	281310
281390	281390
281410	281410
281420	281420
281511	281511
281512	281512
281520	281520
281530	281530
281610	281610
281640	281640
281700	281700
281810	281810
281820	281820
281830	281830
281910	281910
281990	281990
282010	282010
282090	282090
282110	282110
282120	282120
282200	282200
282300	282300
282410	282410
282490	282490
282510	282510
282520	282520
282530	282530
282540	282540
282550	282550
282560	282560
282570	282570
282580	282580
282590	282590
282612	282612
282619	282619
282630	282630
282690	282690
282710	282710
282720	282720
282731	282731
282732	282732
282735	282735
282739	282739
282741	282741
282749	282749
282751	282751
282759	282759
282760	282760
282810	282810
282890	282890
282911	282911
282919	282919
282990	282990
283010	283010
283090	283090
283110	283110
283190	283190
283210	283210
283220	283220
283230	283230
283311	283311
283319	283319
283321	283321
283322	283322
283324	283324
283325	283325
283327	283327
283329	283329
283330	283330
283340	283340
283410	283410
283421	283421
283429	283429
283510	283510
283522	283522
283524	283524
283525	283525
283526	283526
283529	283529
283531	283531
283539	283539
283620	283620
283630	283630
283640	283640
283650	283650
283660	283660
283691	283691
283692	283692
283699	283699
283711	283711
283719	283719
283720	283720
283911	283911
283919	283919
283990	283990
284011	284011
284019	284019
284020	284020
284030	284030
284130	284130
284150	284150
284161	284161
284169	284169
284170	284170
284180	284180
284190	284190
284210	284210
284290	284290
284310	284310
284321	284321
284329	284329
284330	284330
284390	284390
284410	284410
284420	284420
284430	284430
284441	284440
284442	284440
284443	284440
284444	284440
284450	284450
284510	284510
284520	284590
284530	284590
284540	284590
284590	284590
284610	284610
284690	284690
284700	284700
284910	284910
284920	284920
284990	284990
285000	285000
285210	285200
285290	382490
285310	285300
285390	284800
290110	290110
290121	290121
290122	290122
290123	290123
290124	290124
290129	290129
290211	290211
290219	290219
290220	290220
290230	290230
290241	290241
290242	290242
290243	290243
290244	290244
290250	290250
290260	290260
290270	290270
290290	290290
290311	290311
290312	290312
290313	290313
290314	290314
290315	290315
290319	290319
290321	290321
290322	290322
290323	290323
290329	290329
290341	290339
290342	290339
290343	290339
290344	290339
290345	290339
290346	290339
290347	290339
290348	290339
290349	290339
290351	290339
290359	290339
290361	290339
290362	290331
290369	290339
290371	290349
290372	290349
290373	290349
290374	290349
290375	290349
290376	290346
290377	290345
290378	290347
290379	290349
290381	290351
290382	290352
290383	290359
290389	290359
290391	290361
290392	290362
290393	290369
290394	290369
290399	290369
290410	290410
290420	290420
290431	290490
290432	290490
290433	290490
290434	290490
290435	290490
290436	290490
290491	290490
290499	290490
290511	290511
290512	290512
290513	290513
290514	290514
290516	290516
290517	290517
290519	290519
290522	290522
290529	290529
290531	290531
290532	290532
290539	290539
290541	290541
290542	290542
290543	290543
290544	290544
290545	290545
290549	290549
290551	290551
290559	290559
290611	290611
290612	290612
290613	290613
290619	290619
290621	290621
290629	290629
290711	290711
290712	290712
290713	290713
290715	290715
290719	290719
290721	290721
290722	290722
290723	290723
290729	290729
290811	290811
290819	290819
290891	290891
290892	290899
290899	290899
290911	290911
290919	290919
290920	290920
290930	290930
290941	290941
290943	290943
290944	290944
290949	290949
290950	290950
290960	290960
291010	291010
291020	291020
291030	291030
291040	291040
291050	291090
291090	291090
291100	291100
291211	291211
291212	291212
291219	291219
291221	291221
291229	291229
291241	291241
291242	291242
291249	291249
291250	291250
291260	291260
291300	291300
291411	291411
291412	291412
291413	291413
291419	291419
291422	291422
291423	291423
291429	291429
291431	291431
291439	291439
291440	291440
291450	291450
291461	291461
291462	291469
291469	291469
291471	291470
291479	291470
291511	291511
291512	291512
291513	291513
291521	291521
291524	291524
291529	291529
291531	291531
291532	291532
291533	291533
291536	291536
291539	291539
291540	291540
291550	291550
291560	291560
291570	291570
291590	291590
291611	291611
291612	291612
291613	291613
291614	291614
291615	291615
291616	291636
291619	291619
291620	291620
291631	291631
291632	291632
291634	291634
291639	291639
291711	291711
291712	291712
291713	291713
291714	291714
291719	291719
291720	291720
291732	291732
291733	291733
291734	291734
291735	291735
291736	291736
291737	291737
291739	291739
291811	291811
291812	291812
291813	291813
291814	291814
291815	291815
291816	291816
291817	291819
291818	291818
291819	291819
291821	291821
291822	291822
291823	291823
291829	291829
291830	291830
291891	291891
291899	291899
291910	291910
291990	291990
292011	292011
292019	292019
292021	292090
292022	292090
292023	292090
292024	292090
292029	292090
292030	292090
292090	292090
292111	292111
292112	292119
292113	292119
292114	292119
292119	292119
292121	292121
292122	292122
292129	292129
292130	292130
292141	292141
292142	292142
292143	292143
292144	292144
292145	292145
292146	292146
292149	292149
292151	292151
292159	292159
292211	292211
292212	292212
292214	292214
292215	292213
292216	292219
292217	292219
292218	292219
292219	292219
292221	292221
292229	292229
292231	292231
292239	292239
292241	292241
292242	292242
292243	292243
292244	292244
292249	292249
292250	292250
292310	292310
292320	292320
292330	292390
292340	292390
292390	292390
292411	292411
292412	292412
292419	292419
292421	292421
292423	292423
292424	292424
292425	292429
292429	292429
292511	292511
292512	292512
292519	292519
292521	292521
292529	292529
292610	292610
292620	292620
292630	292630
292640	292690
292690	292690
292700	292700
292800	292800
292910	292910
292990	292990
293010	293090
293020	293020
293030	293030
293040	293040
293060	293090
293070	293090
293080	293050
293090	293090
293110	293100
293120	293100
293141	293100
293142	293100
293143	293100
293144	293100
293145	293100
293146	293100
293147	293100
293148	293100
293149	293100
293151	293100
293152	293100
293153	293100
293154	293100
293159	293100
293190	293100
293211	293211
293212	293212
293213	293213
293214	293219
293219	293219
293220	293229
293291	293291
293292	293292
293293	293293
293294	293294
293295	293295
293296	293299
293299	293299
293311	293311
293319	293319
293321	293321
293329	293329
293331	293331
293332	293332
293333	293333
293334	293339
293335	293339
293336	293339
293337	293339
293339	293339
293341	293341
293349	293349
293352	293352
293353	293353
293354	293354
293355	293355
293359	293359
293361	293361
293369	293369
293371	293371
293372	293372
293379	293379
293391	293391
293392	293399
293399	293399
293410	293410
293420	293420
293430	293430
293491	293491
293492	293499
293499	293499
293510	293500
293520	293500
293530	293500
293540	293500
293550	293500
293590	293500
293621	293621
293622	293622
293623	293623
293624	293624
293625	293625
293626	293626
293627	293627
293628	293628
293629	293629
293690	293690
293711	293711
293712	293712
293719	293719
293721	293721
293722	293722
293723	293723
293729	293729
293750	293750
293790	293790
293810	293810
293890	293890
293911	293911
293919	293919
293920	293920
293930	293930
293941	293941
293942	293942
293943	293943
293944	293949
293945	293991
293949	293949
293951	293951
293959	293959
293961	293961
293962	293962
293963	293963
293969	293969
293972	293991
293979	293999
293980	293359
294000	294000
294110	294110
294120	294120
294130	294130
294140	294140
294150	294150
294190	294190
294200	294200
300120	300120
300190	300190
300212	300290
300213	300290
300214	300290
300215	300290
300241	300220
300242	300230
300249	300210
300251	300210
300259	300210
300290	300290
300310	300310
300320	300320
300331	300331
300339	300339
300341	300340
300342	300340
300343	300340
300349	300340
300360	300390
300390	300390
300410	300410
300420	300420
300431	300431
300432	300432
300439	300439
300441	300440
300442	300440
300443	300440
300449	300440
300450	300450
300460	300490
300490	300490
300510	300510
300590	300590
300610	300610
300630	300630
300640	300640
300650	300650
300660	300660
300670	300670
300691	300691
300692	300692
300693	300490
310100	310100
310210	310210
310221	310221
310229	310229
310230	310230
310240	310240
310250	310250
310260	310260
310280	310280
310290	310290
310311	310310
310319	310310
310390	310390
310420	310420
310430	310430
310490	310490
310510	310510
310520	310520
310530	310530
310540	310540
310551	310551
310559	310559
310560	310560
310590	310590
320110	320110
320120	320120
320190	320190
320210	320210
320290	320290
320300	320300
320411	320411
320412	320412
320413	320413
320414	320414
320415	320415
320416	320416
320417	320417
320418	320419
320419	320419
320420	320420
320490	320490
320500	320500
320611	320611
320619	320619
320620	320620
320641	320641
320642	320642
320649	320649
320650	320650
320710	320710
320720	320720
320730	320730
320740	320740
320810	320810
320820	320820
320890	320890
320910	320910
320990	320990
321000	321000
321100	321100
321210	321210
321290	321290
321310	321310
321390	321390
321410	321410
321490	321490
321511	321511
321519	321519
321590	321590
330112	330112
330113	330113
330119	330119
330124	330124
330125	330125
330129	330129
330130	330130
330190	330190
330210	330210
330290	330290
330300	330300
330410	330410
330420	330420
330430	330430
330491	330491
330499	330499
330510	330510
330520	330520
330530	330530
330590	330590
330610	330610
330620	330620
330690	330690
330710	330710
330720	330720
330730	330730
330741	330741
330749	330749
330790	330790
340111	340111
340119	340119
340120	340120
340130	340130
340231	340211
340239	340211
340241	340212
340242	340213
340249	340219
340250	340220
340290	340290
340311	340311
340319	340319
340391	340391
340399	340399
340420	340420
340490	340490
340510	340510
340520	340520
340530	340530
340540	340540
340590	340590
340600	340600
340700	340700
350110	350110
350190	350190
350211	350211
350219	350219
350220	350220
350290	350290
350300	350300
350400	350400
350510	350510
350520	350520
350610	350610
350691	350691
350699	350699
350710	350710
350790	350790
360100	360100
360200	360200
360310	360300
360320	360300
360330	360300
360340	360300
360350	360300
360360	360300
360410	360410
360490	360490
360500	360500
360610	360610
360690	360690
370110	370110
370120	370120
370130	370130
370191	370191
370199	370199
370210	370210
370231	370231
370232	370232
370239	370239
370241	370241
370242	370242
370243	370243
370244	370244
370252	370252
370253	370253
370254	370254
370255	370255
370256	370256
370296	370293
370297	370294
370298	370295
370310	370310
370320	370320
370390	370390
370400	370400
370500	370590
370610	370610
370690	370690
370710	370710
370790	370790
380110	380110
380120	380120
380130	380130
380190	380190
380210	380210
380290	380290
380300	380300
380400	380400
380510	380510
380590	380590
380610	380610
380620	380620
380630	380630
380690	380690
380700	380700
380852	380899
380859	380899
380861	380891
380862	380891
380869	380891
380891	380891
380892	380892
380893	380893
380894	380894
380899	380899
380910	380910
380991	380991
380992	380992
380993	380993
381010	381010
381090	381090
381111	381111
381119	381119
381121	381121
381129	381129
381190	381190
381210	381210
381220	381220
381231	381230
381239	381230
381300	381300
381400	381400
381511	381511
381512	381512
381519	381519
381590	381590
381600	381600
381700	381700
381800	381800
381900	381900
382000	382000
382100	382100
382211	300210
382212	300210
382213	300620
382219	382200
382290	382200
382311	382311
382312	382312
382313	382313
382319	382319
382370	382370
382410	382410
382430	382430
382440	382440
382450	382450
382460	382460
382481	382481
382482	382482
382483	382483
382484	382490
382485	382490
382486	382490
382487	382490
382488	382490
382489	382490
382491	382490
382492	382490
382499	382490
382510	382510
382520	382520
382530	382530
382541	382541
382549	382549
382550	382550
382561	382561
382569	382569
382590	382590
382600	382490
382711	382471
382712	382473
382713	382475
382714	382476
382720	382472
382731	382474
382732	382474
382739	382474
382740	382477
382751	382478
382759	382478
382761	382478
382762	382478
382763	382478
382764	382478
382765	382478
382768	382478
382769	382478
382790	382479
390110	390110
390120	390120
390130	390130
390140	390190
390190	390190
390210	390210
390220	390220
390230	390230
390290	390290
390311	390311
390319	390319
390320	390320
390330	390330
390390	390390
390410	390410
390421	390421
390422	390422
390430	390430
390440	390440
390450	390450
390461	390461
390469	390469
390490	390490
390512	390512
390519	390519
390521	390521
390529	390529
390530	390530
390591	390591
390599	390599
390610	390610
390690	390690
390710	390710
390721	390720
390729	390720
390730	390730
390740	390740
390750	390750
390761	390760
390769	390760
390770	390770
390791	390791
390799	390799
390810	390810
390890	390890
390910	390910
390920	390920
390931	390930
390939	390930
390940	390940
390950	390950
391000	391000
391110	391110
391120	391190
391190	391190
391211	391211
391212	391212
391220	391220
391231	391231
391239	391239
391290	391290
391310	391310
391390	391390
391400	391400
391510	391510
391520	391520
391530	391530
391590	391590
391610	391610
391620	391620
391690	391690
391710	391710
391721	391721
391722	391722
391723	391723
391729	391729
391731	391731
391732	391732
391733	391733
391739	391739
391740	391740
391810	391810
391890	391890
391910	391910
391990	391990
392010	392010
392020	392020
392030	392030
392043	392043
392049	392049
392051	392051
392059	392059
392061	392061
392062	392062
392063	392063
392069	392069
392071	392071
392073	392073
392079	392079
392091	392091
392092	392092
392093	392093
392094	392094
392099	392099
392111	392111
392112	392112
392113	392113
392114	392114
392119	392119
392190	392190
392210	392210
392220	392220
392290	392290
392310	392310
392321	392321
392329	392329
392330	392330
392340	392340
392350	392350
392390	392390
392410	392410
392490	392490
392510	392510
392520	392520
392530	392530
392590	392590
392610	392610
392620	392620
392630	392630
392640	392640
392690	392690
400110	400110
400121	400121
400122	400122
400129	400129
400130	400130
400211	400211
400219	400219
400220	400220
400231	400231
400239	400239
400241	400241
400249	400249
400251	400251
400259	400259
400260	400260
400270	400270
400280	400280
400291	400291
400299	400299
400300	400300
400400	400400
400510	400510
400520	400520
400591	400591
400599	400599
400610	400610
400690	400690
400700	400700
400811	400811
400819	400819
400821	400821
400829	400829
400911	400911
400912	400912
400921	400921
400922	400922
400931	400931
400932	400932
400941	400941
400942	400942
401011	401011
401012	401012
401019	401019
401031	401031
401032	401032
401033	401033
401034	401034
401035	401035
401036	401036
401039	401039
401110	401110
401120	401120
401130	401130
401140	401140
401150	401150
401170	401161
401180	401194
401190	401199
401211	401211
401212	401212
401213	401213
401219	401219
401220	401220
401290	401290
401310	401310
401320	401320
401390	401390
401410	401410
401490	401490
401512	401511
401519	401519
401590	401590
401610	401610
401691	401691
401692	401692
401693	401693
401694	401694
401695	401695
401699	401699
401700	401700
410120	410120
410150	410150
410190	410190
410210	410210
410221	410221
410229	410229
410320	410320
410330	410330
410390	410390
410411	410411
410419	410419
410441	410441
410449	410449
410510	410510
410530	410530
410621	410621
410622	410622
410631	410631
410632	410632
410640	410640
410691	410691
410692	410692
410711	410711
410712	410712
410719	410719
410791	410791
410792	410792
410799	410799
411200	411200
411310	411310
411320	411320
411330	411330
411390	411390
411410	411410
411420	411420
411510	411510
411520	411520
420100	420100
420211	420211
420212	420212
420219	420219
420221	420221
420222	420222
420229	420229
420231	420231
420232	420232
420239	420239
420291	420291
420292	420292
420299	420299
420310	420310
420321	420321
420329	420329
420330	420330
420340	420340
420500	420500
420600	420600
430110	430110
430130	430130
430160	430160
430180	430180
430190	430190
430211	430211
430219	430219
430220	430220
430230	430230
430310	430310
430390	430390
430400	430400
440111	440110
440112	440110
440121	440121
440122	440122
440131	440130
440132	440130
440139	440130
440141	440130
440149	440130
440210	440210
440220	440290
440290	440290
440311	440310
440312	440310
440321	440320
