3 - Cursos Graduação Presenciais;;;;;;;;;;;;;;;;;
3.1 - Número de Cursos de Graduação Presenciais, por Organização Acadêmica e Localização (Capital e Interior),;;;;;;;;;;;;;;;;;
segundo a Unidade da Federação e a Categoria Administrativa das IES - 2009;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Unidade da Federação/ Categoria Administrativa;;;Número de Cursos de Graduação Presenciais;;;;;;;;;;;;;;
;;; Total Geral ;;; Universidades ;;; Centros Universitários ;;; Faculdades ;;; IF e CEFET  ;;
Roraima;;;97;88;9;55;46;9;. ;. ;. ;36;36;. ;6;6;. 
;Pública;;61;52;9;55;46;9;. ;. ;. ;. ;. ;. ;6;6;. 
;;Federal;39;39;. ;33;33;. ;. ;. ;. ;. ;. ;. ;6;6;. 
;;Estadual;22;13;9;22;13;9;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;36;36;. ;. ;. ;. ;. ;. ;. ;36;36;. ;. ;. ;. 
;;Particular;34;34;. ;. ;. ;. ;. ;. ;. ;34;34;. ;. ;. ;. 
;;Comun/Confes;2;2;. ;. ;. ;. ;. ;. ;. ;2;2;. ;. ;. ;. 
Pará;;;636;285;351;378;120;258;30;17;13;203;132;71;25;16;9
;Pública;;367;108;259;342;92;250;. ;. ;. ;. ;. ;. ;25;16;9
;;Federal;284;86;198;259;70;189;. ;. ;. ;. ;. ;. ;25;16;9
;;Estadual;83;22;61;83;22;61;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;269;177;92;36;28;8;30;17;13;203;132;71;. ;. ;. 
;;Particular;252;176;76;36;28;8;17;17;. ;199;131;68;. ;. ;. 
;;Comun/Confes;17;1;16;. ;. ;. ;13;. ;13;4;1;3;. ;. ;. 
Amapá;;;109;85;24;39;23;16;. ;. ;. ;70;62;8;. ;. ;. 
;Pública;;39;23;16;39;23;16;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Federal;31;15;16;31;15;16;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Estadual;8;8;. ;8;8;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;70;62;8;. ;. ;. ;. ;. ;. ;70;62;8;. ;. ;. 
;;Particular;70;62;8;. ;. ;. ;. ;. ;. ;70;62;8;. ;. ;. 
;;Comun/Confes;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
Tocantins;;;191;79;112;52;20;32;46;31;15;84;21;63;9;7;2
;Pública;;76;27;49;52;20;32;15;. ;15;. ;. ;. ;9;7;2
;;Federal;59;25;34;50;18;32;. ;. ;. ;. ;. ;. ;9;7;2
;;Estadual;2;2;. ;2;2;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;15;. ;15;. ;. ;. ;15;. ;15;. ;. ;. ;. ;. ;. 
;Privada;;115;52;63;. ;. ;. ;31;31;. ;84;21;63;. ;. ;. 
;;Particular;64;14;50;. ;. ;. ;. ;. ;. ;64;14;50;. ;. ;. 
;;Comun/Confes;51;38;13;. ;. ;. ;31;31;. ;20;7;13;. ;. ;. 
;;;;;;;;;;;;;;;;;
Nordeste;;;4.655;2.354;2.301;2.325;1.024;1.301;144;144;. ;2.026;1.095;931;160;91;69
;Pública;;2.288;868;1.420;2.048;774;1.274;. ;. ;. ;80;3;77;160;91;69
;;Federal;1.163;684;479;1.003;593;410;. ;. ;. ;. ;. ;. ;160;91;69
;;Estadual;1.048;184;864;1.045;181;864;. ;. ;. ;3;3;. ;. ;. ;. 
;;Municipal;77;. ;77;. ;. ;. ;. ;. ;. ;77;. ;77;. ;. ;. 
;Privada;;2.367;1.486;881;277;250;27;144;144;. ;1.946;1.092;854;. ;. ;. 
;;Particular;2.167;1.357;810;216;189;27;131;131;. ;1.820;1.037;783;. ;. ;. 
;;Comun/Confes;200;129;71;61;61;. ;13;13;. ;126;55;71;. ;. ;. 
;;;;;;;;;;;;;;;;;
Maranhão;;;403;206;197;209;89;120;43;43;. ;140;64;76;11;10;1
;Pública;;220;99;121;209;89;120;. ;. ;. ;. ;. ;. ;11;10;1
;;Federal;65;50;15;54;40;14;. ;. ;. ;. ;. ;. ;11;10;1
;;Estadual;155;49;106;155;49;106;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;183;107;76;. ;. ;. ;43;43;. ;140;64;76;. ;. ;. 
;;Particular;176;104;72;. ;. ;. ;43;43;. ;133;61;72;. ;. ;. 
;;Comun/Confes;7;3;4;. ;. ;. ;. ;. ;. ;7;3;4;. ;. ;. 
Piauí;;;463;214;249;284;89;195;. ;. ;. ;160;113;47;19;12;7
;Pública;;304;102;202;284;89;195;. ;. ;. ;1;1;. ;19;12;7
;;Federal;104;63;41;85;51;34;. ;. ;. ;. ;. ;. ;19;12;7
;;Estadual;200;39;161;199;38;161;. ;. ;. ;1;1;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;159;112;47;. ;. ;. ;. ;. ;. ;159;112;47;. ;. ;. 
;;Particular;159;112;47;. ;. ;. ;. ;. ;. ;159;112;47;. ;. ;. 
;;Comun/Confes;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
Ceará;;;508;313;195;227;135;92;. ;. ;. ;240;162;78;41;16;25
;Pública;;227;110;117;186;94;92;. ;. ;. ;. ;. ;. ;41;16;25
;;Federal;117;79;38;76;63;13;. ;. ;. ;. ;. ;. ;41;16;25
;;Estadual;110;31;79;110;31;79;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;281;203;78;41;41;. ;. ;. ;. ;240;162;78;. ;. ;. 
;;Particular;243;195;48;41;41;. ;. ;. ;. ;202;154;48;. ;. ;. 
;;Comun/Confes;38;8;30;. ;. ;. ;. ;. ;. ;38;8;30;. ;. ;. 
Rio Grande do Norte;;;377;210;167;258;117;141;. ;. ;. ;95;78;17;24;15;9
;Pública;;233;97;136;207;80;127;. ;. ;. ;2;2;. ;24;15;9
;;Federal;144;91;53;120;76;44;. ;. ;. ;. ;. ;. ;24;15;9
;;Estadual;89;6;83;87;4;83;. ;. ;. ;2;2;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;144;113;31;51;37;14;. ;. ;. ;93;76;17;. ;. ;. 
;;Particular;143;113;30;51;37;14;. ;. ;. ;92;76;16;. ;. ;. 
;;Comun/Confes;1;. ;1;. ;. ;. ;. ;. ;. ;1;. ;1;. ;. ;. 
Paraíba;;;380;171;209;230;87;143;13;13;. ;116;59;57;21;12;9
;Pública;;251;99;152;230;87;143;. ;. ;. ;. ;. ;. ;21;12;9
;;Federal;206;96;110;185;84;101;. ;. ;. ;. ;. ;. ;21;12;9
;;Estadual;45;3;42;45;3;42;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;129;72;57;. ;. ;. ;13;13;. ;116;59;57;. ;. ;. 
;;Particular;116;59;57;. ;. ;. ;. ;. ;. ;116;59;57;. ;. ;. 
;;Comun/Confes;13;13;. ;. ;. ;. ;13;13;. ;. ;. ;. ;. ;. ;. 
Pernambuco;;;697;357;340;239;170;69;. ;. ;. ;444;181;263;14;6;8
;Pública;;277;123;154;186;117;69;. ;. ;. ;77;. ;77;14;6;8
;;Federal;157;110;47;143;104;39;. ;. ;. ;. ;. ;. ;14;6;8
;;Estadual;43;13;30;43;13;30;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;77;. ;77;. ;. ;. ;. ;. ;. ;77;. ;77;. ;. ;. 
;Privada;;420;234;186;53;53;. ;. ;. ;. ;367;181;186;. ;. ;. 
;;Particular;344;176;168;19;19;. ;. ;. ;. ;325;157;168;. ;. ;. 
;;Comun/Confes;76;58;18;34;34;. ;. ;. ;. ;42;24;18;. ;. ;. 
Alagoas;;;278;168;110;142;56;86;. ;. ;. ;122;104;18;14;8;6
;Pública;;156;64;92;142;56;86;. ;. ;. ;. ;. ;. ;14;8;6
;;Federal;79;55;24;65;47;18;. ;. ;. ;. ;. ;. ;14;8;6
;;Estadual;77;9;68;77;9;68;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;122;104;18;. ;. ;. ;. ;. ;. ;122;104;18;. ;. ;. 
;;Particular;119;104;15;. ;. ;. ;. ;. ;. ;119;104;15;. ;. ;. 
;;Comun/Confes;3;. ;3;. ;. ;. ;. ;. ;. ;3;. ;3;. ;. ;. 
Sergipe;;;223;107;116;152;46;106;. ;. ;. ;65;56;9;6;5;1
;Pública;;107;11;96;101;6;95;. ;. ;. ;. ;. ;. ;6;5;1
;;Federal;107;11;96;101;6;95;. ;. ;. ;. ;. ;. ;6;5;1
;;Estadual;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;116;96;20;51;40;11;. ;. ;. ;65;56;9;. ;. ;. 
;;Particular;116;96;20;51;40;11;. ;. ;. ;65;56;9;. ;. ;. 
;;Comun/Confes;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
Bahia;;;1.326;608;718;584;235;349;88;88;. ;644;278;366;10;7;3
;Pública;;513;163;350;503;156;347;. ;. ;. ;. ;. ;. ;10;7;3
;;Federal;184;129;55;174;122;52;. ;. ;. ;. ;. ;. ;10;7;3
;;Estadual;329;34;295;329;34;295;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;813;445;368;81;79;2;88;88;. ;644;278;366;. ;. ;. 
;;Particular;751;398;353;54;52;2;88;88;. ;609;258;351;. ;. ;. 
;;Comun/Confes;62;47;15;27;27;. ;. ;. ;. ;35;20;15;. ;. ;. 
;;;;;;;;;;;;;;;;;
Sudeste;;;13.278;4.512;8.766;6.252;2.525;3.727;2.394;881;1.513;4.468;1.048;3.420;164;58;106
;Pública;;2.424;755;1.669;1.939;651;1.288;37;10;27;284;36;248;164;58;106
;;Federal;1.250;432;818;1.071;364;707;. ;. ;. ;15;10;5;164;58;106
;;Estadual;910;323;587;792;287;505;10;10;. ;108;26;82;. ;. ;. 
;;Municipal;264;. ;264;76;. ;76;27;. ;27;161;. ;161;. ;. ;. 
;Privada;;10.854;3.757;7.097;4.313;1.874;2.439;2.357;871;1.486;4.184;1.012;3.172;. ;. ;. 
;;Particular;8.869;3.261;5.608;3.342;1.560;1.782;1.735;773;962;3.792;928;2.864;. ;. ;. 
;;Comun/Confes;1.985;496;1.489;971;314;657;622;98;524;392;84;308;. ;. ;. 
;;;;;;;;;;;;;;;;;
Minas Gerais;;;3.066;619;2.447;1.380;242;1.138;476;168;308;1.144;200;944;66;9;57
;Pública;;662;130;532;581;120;461;. ;. ;. ;15;1;14;66;9;57
;;Federal;567;116;451;501;107;394;. ;. ;. ;. ;. ;. ;66;9;57
;;Estadual;86;14;72;80;13;67;. ;. ;. ;6;1;5;. ;. ;. 
;;Municipal;9;. ;9;. ;. ;. ;. ;. ;. ;9;. ;9;. ;. ;. 
;Privada;;2.404;489;1.915;799;122;677;476;168;308;1.129;199;930;. ;. ;. 
;;Particular;1.755;345;1.410;542;22;520;266;139;127;947;184;763;. ;. ;. 
;;Comun/Confes;649;144;505;257;100;157;210;29;181;182;15;167;. ;. ;. 
Espírito Santo;;;568;183;385;95;64;31;96;. ;96;359;110;249;18;9;9
;Pública;;124;76;48;95;64;31;. ;. ;. ;11;3;8;18;9;9
;;Federal;113;73;40;95;64;31;. ;. ;. ;. ;. ;. ;18;9;9
;;Estadual;3;3;. ;. ;. ;. ;. ;. ;. ;3;3;. ;. ;. ;. 
;;Municipal;8;. ;8;. ;. ;. ;. ;. ;. ;8;. ;8;. ;. ;. 
;Privada;;444;107;337;. ;. ;. ;96;. ;96;348;107;241;. ;. ;. 
;;Particular;383;87;296;. ;. ;. ;69;. ;69;314;87;227;. ;. ;. 
;;Comun/Confes;61;20;41;. ;. ;. ;27;. ;27;34;20;14;. ;. ;. 
Rio de Janeiro;;;2.359;1.285;1.074;1.491;823;668;441;254;187;378;186;192;49;22;27
;Pública;;575;314;261;483;268;215;10;10;. ;33;14;19;49;22;27
;;Federal;426;219;207;367;187;180;. ;. ;. ;10;10;. ;49;22;27
;;Estadual;145;95;50;116;81;35;10;10;. ;19;4;15;. ;. ;. 
;;Municipal;4;. ;4;. ;. ;. ;. ;. ;. ;4;. ;4;. ;. ;. 
;Privada;;1.784;971;813;1.008;555;453;431;244;187;345;172;173;. ;. ;. 
;;Particular;1.535;835;700;838;449;389;396;227;169;301;159;142;. ;. ;. 
;;Comun/Confes;249;136;113;170;106;64;35;17;18;44;13;31;. ;. ;. 
São Paulo;;;7.285;2.425;4.860;3.286;1.396;1.890;1.381;459;922;2.587;552;2.035;31;18;13
;Pública;;1.063;235;828;780;199;581;27;. ;27;225;18;207;31;18;13
;;Federal;144;24;120;108;6;102;. ;. ;. ;5;. ;5;31;18;13
;;Estadual;676;211;465;596;193;403;. ;. ;. ;80;18;62;. ;. ;. 
;;Municipal;243;. ;243;76;. ;76;27;. ;27;140;. ;140;. ;. ;. 
;Privada;;6.222;2.190;4.032;2.506;1.197;1.309;1.354;459;895;2.362;534;1.828;. ;. ;. 
;;Particular;5.196;1.994;3.202;1.962;1.089;873;1.004;407;597;2.230;498;1.732;. ;. ;. 
;;Comun/Confes;1.026;196;830;544;108;436;350;52;298;132;36;96;. ;. ;. 
;;;;;;;;;;;;;;;;;
Sul;;;5.386;1.111;4.275;3.151;582;2.569;520;119;401;1.672;401;1.271;43;9;34
;Pública;;1.582;393;1.189;1.407;366;1.041;41;. ;41;91;18;73;43;9;34
;;Federal;749;347;402;706;338;368;. ;. ;. ;. ;. ;. ;43;9;34
;;Estadual;522;46;476;450;28;422;. ;. ;. ;72;18;54;. ;. ;. 
;;Municipal;311;. ;311;251;. ;251;41;. ;41;19;. ;19;. ;. ;. 
;Privada;;3.804;718;3.086;1.744;216;1.528;479;119;360;1.581;383;1.198;. ;. ;. 
;;Particular;1.801;489;1.312;288;94;194;157;60;97;1.356;335;1.021;. ;. ;. 
;;Comun/Confes;2.003;229;1.774;1.456;122;1.334;322;59;263;225;48;177;. ;. ;. 
;;;;;;;;;;;;;;;;;
Paraná;;;2.023;603;1.420;874;265;609;180;66;114;967;270;697;2;2;. 
;Pública;;662;141;521;551;121;430;18;. ;18;91;18;73;2;2;. 
;;Federal;218;123;95;216;121;95;. ;. ;. ;. ;. ;. ;2;2;. 
;;Estadual;407;18;389;335;. ;335;. ;. ;. ;72;18;54;. ;. ;. 
;;Municipal;37;. ;37;. ;. ;. ;18;. ;18;19;. ;19;. ;. ;. 
;Privada;;1.361;462;899;323;144;179;162;66;96;876;252;624;. ;. ;. 
;;Particular;1.170;359;811;243;94;149;121;43;78;806;222;584;. ;. ;. 
;;Comun/Confes;191;103;88;80;50;30;41;23;18;70;30;40;. ;. ;. 
Santa Catarina;;;1.336;179;1.157;861;128;733;108;1;107;352;43;309;15;7;8
;Pública;;423;116;307;385;109;276;23;. ;23;. ;. ;. ;15;7;8
;;Federal;101;90;11;86;83;3;. ;. ;. ;. ;. ;. ;15;7;8
;;Estadual;48;26;22;48;26;22;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;274;. ;274;251;. ;251;23;. ;23;. ;. ;. ;. ;. ;. 
;Privada;;913;63;850;476;19;457;85;1;84;352;43;309;. ;. ;. 
;;Particular;340;36;304;45;. ;45;18;. ;18;277;36;241;. ;. ;. 
;;Comun/Confes;573;27;546;431;19;412;67;1;66;75;7;68;. ;. ;. 
Rio Grande do Sul;;;2.027;329;1.698;1.416;189;1.227;232;52;180;353;88;265;26;. ;26
;Pública;;497;136;361;471;136;335;. ;. ;. ;. ;. ;. ;26;. ;26
;;Federal;430;134;296;404;134;270;. ;. ;. ;. ;. ;. ;26;. ;26
;;Estadual;67;2;65;67;2;65;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;1.530;193;1.337;945;53;892;232;52;180;353;88;265;. ;. ;. 
;;Particular;291;94;197;. ;. ;. ;18;17;1;273;77;196;. ;. ;. 
;;Comun/Confes;1.239;99;1.140;945;53;892;214;35;179;80;11;69;. ;. ;. 
;;;;;;;;;;;;;;;;;
Centro-Oeste;;;2.504;1.307;1.197;1.099;586;513;289;186;103;1.053;509;544;63;26;37
;Pública;;893;320;573;796;292;504;. ;. ;. ;34;2;32;63;26;37
;;Federal;524;312;212;461;286;175;. ;. ;. ;. ;. ;. ;63;26;37
;;Estadual;302;8;294;300;6;294;. ;. ;. ;2;2;. ;. ;. ;. 
;;Municipal;67;. ;67;35;. ;35;. ;. ;. ;32;. ;32;. ;. ;. 
;Privada;;1.611;987;624;303;294;9;289;186;103;1.019;507;512;. ;. ;. 
;;Particular;1.392;833;559;165;159;6;262;186;76;965;488;477;. ;. ;. 
;;Comun/Confes;219;154;65;138;135;3;27;. ;27;54;19;35;. ;. ;. 
;;;;;;;;;;;;;;;;;
Mato Grosso do Sul;;;431;150;281;258;105;153;46;19;27;127;26;101;. ;. ;. 
;Pública;;183;38;145;183;38;145;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Federal;125;36;89;125;36;89;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Estadual;58;2;56;58;2;56;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;248;112;136;75;67;8;46;19;27;127;26;101;. ;. ;. 
;;Particular;206;81;125;42;36;6;46;19;27;118;26;92;. ;. ;. 
;;Comun/Confes;42;31;11;33;31;2;. ;. ;. ;9;. ;9;. ;. ;. 
Mato Grosso;;;479;162;317;192;96;96;51;18;33;221;43;178;15;5;10
;Pública;;155;49;106;140;44;96;. ;. ;. ;. ;. ;. ;15;5;10
;;Federal;100;49;51;85;44;41;. ;. ;. ;. ;. ;. ;15;5;10
;;Estadual;55;. ;55;55;. ;55;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;324;113;211;52;52;. ;51;18;33;221;43;178;. ;. ;. 
;;Particular;309;111;198;52;52;. ;51;18;33;206;41;165;. ;. ;. 
;;Comun/Confes;15;2;13;. ;. ;. ;. ;. ;. ;15;2;13;. ;. ;. 
Goiás;;;946;347;599;459;195;264;62;19;43;377;112;265;48;21;27
;Pública;;439;117;322;359;96;263;. ;. ;. ;32;. ;32;48;21;27
;;Federal;185;113;72;137;92;45;. ;. ;. ;. ;. ;. ;48;21;27
;;Estadual;187;4;183;187;4;183;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;67;. ;67;35;. ;35;. ;. ;. ;32;. ;32;. ;. ;. 
;Privada;;507;230;277;100;99;1;62;19;43;345;112;233;. ;. ;. 
;;Particular;404;168;236;40;40;. ;35;19;16;329;109;220;. ;. ;. 
;;Comun/Confes;103;62;41;60;59;1;27;. ;27;16;3;13;. ;. ;. 
Distrito Federal;;;648;648;. ;190;190;. ;130;130;. ;328;328;. ;. ;. ;. 
;Pública;;116;116;. ;114;114;. ;. ;. ;. ;2;2;. ;. ;. ;. 
;;Federal;114;114;. ;114;114;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Estadual;2;2;. ;. ;. ;. ;. ;. ;. ;2;2;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;532;532;. ;76;76;. ;130;130;. ;326;326;. ;. ;. ;. 
;;Particular;473;473;. ;31;31;. ;130;130;. ;312;312;. ;. ;. ;. 
;;Comun/Confes;59;59;. ;45;45;. ;. ;. ;. ;14;14;. ;. ;. ;. 
;;;;;;;;;;;;;;;;;
Fonte: MEC/INEP/DEED;;;;;;;;;;;;;;;;;
IF/CEFET - Instituto Federal de Educação, Ciência e Tecnologia e Centro Federal de Educação Tecnológica;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
