1 - Instituições;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 - Número de Instituições de Educação Superior, por Organização Acadêmica e Localização (Capital e Interior),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
segundo a Unidade da Federação e a Categoria Administrativa das IES - 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação/ Categoria Administrativa;;;Instituições;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; Total Geral ;;; Universidades ;;; Centros Universitários ;;; Faculdades ;;;  IF e CEFET ;;;;;;;;;;;;;;;;;;;;;;;;
;Pública;;1;1;. ;1;1;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;1;1;. ;1;1;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;9;8;1;. ;. ;. ;. ;. ;. ;9;8;1;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;7;6;1;. ;. ;. ;. ;. ;. ;7;6;1;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;2;2;. ;. ;. ;. ;. ;. ;. ;2;2;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Amazonas;;;19;19;. ;2;2;. ;4;4;. ;12;12;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;3;3;. ;2;2;. ;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;2;2;. ;1;1;. ;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;1;1;. ;1;1;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;16;16;. ;. ;. ;. ;4;4;. ;12;12;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;12;12;. ;. ;. ;. ;3;3;. ;9;9;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;4;4;. ;. ;. ;. ;1;1;. ;3;3;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Roraima;;;7;7;. ;2;2;. ;. ;. ;. ;4;4;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;3;3;. ;2;2;. ;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;2;2;. ;1;1;. ;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;1;1;. ;1;1;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;4;4;. ;. ;. ;. ;. ;. ;. ;4;4;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;3;3;. ;. ;. ;. ;. ;. ;. ;3;3;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;1;1;. ;. ;. ;. ;. ;. ;. ;1;1;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Pará;;;34;21;13;4;4;. ;2;1;1;27;15;12;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;4;4;. ;3;3;. ;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;3;3;. ;2;2;. ;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;1;1;. ;1;1;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;30;17;13;1;1;. ;2;1;1;27;15;12;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;27;16;11;1;1;. ;1;1;. ;25;14;11;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;3;1;2;. ;. ;. ;1;. ;1;2;1;1;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Amapá;;;14;12;2;2;2;. ;. ;. ;. ;12;10;2;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;2;2;. ;2;2;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;1;1;. ;1;1;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;1;1;. ;1;1;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;12;10;2;. ;. ;. ;. ;. ;. ;12;10;2;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;12;10;2;. ;. ;. ;. ;. ;. ;12;10;2;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Tocantins;;;33;9;24;2;2;. ;2;1;1;28;5;23;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;4;3;1;2;2;. ;1;. ;1;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;2;2;. ;1;1;. ;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;1;1;. ;1;1;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;1;. ;1;. ;. ;. ;1;. ;1;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;29;6;23;. ;. ;. ;1;1;. ;28;5;23;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;25;4;21;. ;. ;. ;. ;. ;. ;25;4;21;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;4;2;2;. ;. ;. ;1;1;. ;3;1;2;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nordeste;;;448;227;221;35;22;13;4;4;. ;399;192;207;10;9;1;;;;;;;;;;;;;;;;;;;;;;
;Pública;;61;27;34;29;16;13;. ;. ;. ;22;2;20;10;9;1;;;;;;;;;;;;;;;;;;;;;;
;;Federal;24;18;6;14;9;5;. ;. ;. ;. ;. ;. ;10;9;1;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;17;9;8;15;7;8;. ;. ;. ;2;2;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;20;. ;20;. ;. ;. ;. ;. ;. ;20;. ;20;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;387;200;187;6;6;. ;4;4;. ;377;190;187;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;356;186;170;4;4;. ;3;3;. ;349;179;170;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;31;14;17;2;2;. ;1;1;. ;28;11;17;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maranhão;;;32;15;17;3;3;. ;1;1;. ;27;10;17;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;4;4;. ;3;3;. ;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;2;2;. ;1;1;. ;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;2;2;. ;2;2;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;28;11;17;. ;. ;. ;1;1;. ;27;10;17;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;25;10;15;. ;. ;. ;1;1;. ;24;9;15;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;3;1;2;. ;. ;. ;. ;. ;. ;3;1;2;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Piauí;;;37;26;11;2;2;. ;. ;. ;. ;34;23;11;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;4;4;. ;2;2;. ;. ;. ;. ;1;1;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;2;2;. ;1;1;. ;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;2;2;. ;1;1;. ;. ;. ;. ;1;1;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;33;22;11;. ;. ;. ;. ;. ;. ;33;22;11;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;33;22;11;. ;. ;. ;. ;. ;. ;33;22;11;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Ceará;;;51;32;19;5;3;2;. ;. ;. ;45;28;17;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;5;3;2;4;2;2;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;2;2;. ;1;1;. ;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;3;1;2;3;1;2;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;46;29;17;1;1;. ;. ;. ;. ;45;28;17;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;40;27;13;1;1;. ;. ;. ;. ;39;26;13;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;6;2;4;. ;. ;. ;. ;. ;. ;6;2;4;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Rio Grande do Norte;;;24;14;10;4;2;2;. ;. ;. ;19;11;8;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;5;3;2;3;1;2;. ;. ;. ;1;1;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;3;2;1;2;1;1;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;2;1;1;1;. ;1;. ;. ;. ;1;1;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;19;11;8;1;1;. ;. ;. ;. ;18;10;8;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;18;11;7;1;1;. ;. ;. ;. ;17;10;7;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;1;. ;1;. ;. ;. ;. ;. ;. ;1;. ;1;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Paraíba;;;37;21;16;3;1;2;1;1;. ;32;18;14;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;4;2;2;3;1;2;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;3;2;1;2;1;1;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;1;. ;1;1;. ;1;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;33;19;14;. ;. ;. ;1;1;. ;32;18;14;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;32;18;14;. ;. ;. ;. ;. ;. ;32;18;14;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;1;1;. ;. ;. ;. ;1;1;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Pernambuco;;;100;37;63;5;4;1;. ;. ;. ;93;32;61;2;1;1;;;;;;;;;;;;;;;;;;;;;;
;Pública;;26;4;22;4;3;1;. ;. ;. ;20;. ;20;2;1;1;;;;;;;;;;;;;;;;;;;;;;
;;Federal;5;3;2;3;2;1;. ;. ;. ;. ;. ;. ;2;1;1;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;1;1;. ;1;1;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;20;. ;20;. ;. ;. ;. ;. ;. ;20;. ;20;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;74;33;41;1;1;. ;. ;. ;. ;73;32;41;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;65;27;38;. ;. ;. ;. ;. ;. ;65;27;38;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;9;6;3;1;1;. ;. ;. ;. ;8;5;3;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Alagoas;;;25;16;9;3;2;1;. ;. ;. ;21;13;8;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;4;3;1;3;2;1;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;2;2;. ;1;1;. ;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;2;1;1;2;1;1;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;21;13;8;. ;. ;. ;. ;. ;. ;21;13;8;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;20;13;7;. ;. ;. ;. ;. ;. ;20;13;7;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;1;. ;1;. ;. ;. ;. ;. ;. ;1;. ;1;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Sergipe;;;15;13;2;2;1;1;. ;. ;. ;12;11;1;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;2;1;1;1;. ;1;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;2;1;1;1;. ;1;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;13;12;1;1;1;. ;. ;. ;. ;12;11;1;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;13;12;1;1;1;. ;. ;. ;. ;12;11;1;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Bahia;;;127;53;74;8;4;4;2;2;. ;116;46;70;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;7;3;4;6;2;4;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;3;2;1;2;1;1;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;4;1;3;4;1;3;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;120;50;70;2;2;. ;2;2;. ;116;46;70;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;110;46;64;1;1;. ;2;2;. ;107;43;64;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;10;4;6;1;1;. ;. ;. ;. ;9;3;6;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sudeste;;;1.090;306;784;80;31;49;84;27;57;915;243;672;11;5;6;;;;;;;;;;;;;;;;;;;;;;
;Pública;;110;25;85;28;9;19;3;1;2;68;10;58;11;5;6;;;;;;;;;;;;;;;;;;;;;;
;;Federal;34;13;21;19;5;14;. ;. ;. ;4;3;1;11;5;6;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;43;12;31;7;4;3;1;1;. ;35;7;28;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;33;. ;33;2;. ;2;2;. ;2;29;. ;29;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;980;281;699;52;22;30;81;26;55;847;233;614;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;834;244;590;32;15;17;59;22;37;743;207;536;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;146;37;109;20;7;13;22;4;18;104;26;78;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Minas Gerais;;;309;54;255;22;4;18;16;4;12;265;44;221;6;2;4;;;;;;;;;;;;;;;;;;;;;;
;Pública;;29;5;24;13;2;11;. ;. ;. ;10;1;9;6;2;4;;;;;;;;;;;;;;;;;;;;;;
;;Federal;17;3;14;11;1;10;. ;. ;. ;. ;. ;. ;6;2;4;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;4;2;2;2;1;1;. ;. ;. ;2;1;1;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;8;. ;8;. ;. ;. ;. ;. ;. ;8;. ;8;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;280;49;231;9;2;7;16;4;12;255;43;212;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;217;39;178;4;. ;4;9;3;6;204;36;168;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;63;10;53;5;2;3;7;1;6;51;7;44;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Espírito Santo;;;88;27;61;1;1;. ;3;. ;3;83;25;58;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;4;3;1;1;1;. ;. ;. ;. ;2;1;1;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;2;2;. ;1;1;. ;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;1;1;. ;. ;. ;. ;. ;. ;. ;1;1;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;1;. ;1;. ;. ;. ;. ;. ;. ;1;. ;1;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;84;24;60;. ;. ;. ;3;. ;3;81;24;57;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;76;21;55;. ;. ;. ;2;. ;2;74;21;53;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;8;3;5;. ;. ;. ;1;. ;1;7;3;4;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;;;137;74;63;18;10;8;17;9;8;99;54;45;3;1;2;;;;;;;;;;;;;;;;;;;;;;
;Pública;;24;10;14;6;3;3;1;1;. ;14;5;9;3;1;2;;;;;;;;;;;;;;;;;;;;;;
;;Federal;10;6;4;4;2;2;. ;. ;. ;3;3;. ;3;1;2;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;12;4;8;2;1;1;1;1;. ;9;2;7;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;2;. ;2;. ;. ;. ;. ;. ;. ;2;. ;2;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;113;64;49;12;7;5;16;8;8;85;49;36;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;92;54;38;8;4;4;14;7;7;70;43;27;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;21;10;11;4;3;1;2;1;1;15;6;9;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
São Paulo;;;556;151;405;39;16;23;48;14;34;468;120;348;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;53;7;46;8;3;5;2;. ;2;42;3;39;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;5;2;3;3;1;2;. ;. ;. ;1;. ;1;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;26;5;21;3;2;1;. ;. ;. ;23;3;20;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;22;. ;22;2;. ;2;2;. ;2;18;. ;18;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;503;144;359;31;13;18;46;14;32;426;117;309;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;449;130;319;20;11;9;34;12;22;395;107;288;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;54;14;40;11;2;9;12;2;10;31;10;21;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
