6 - Concluintes;;;;;;;;;;;;;;;;;
6.1 - Número de Concluintes em Cursos de Graduação Presenciais, por Organização Acadêmica e Localização (Capital e Interior),;;;;;;;;;;;;;;;;;
segundo a Unidade da Federação e a Categoria Administrativa das IES - 2009;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Unidade da Federação/ Categoria Administrativa;;;Concluintes em Cursos de Graduação Presenciais;;;;;;;;;;;;;;
;;; Total Geral ;;; Universidades ;;; Centros Universitários ;;; Faculdades ;;; IF e CEFET  ;;
;;Federal;1.843;1.843;0;1.774;1.774;0;. ;. ;. ;. ;. ;. ;69;69;. 
;;Estadual;2.626;987;1.639;2.626;987;1.639;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;8.898;8.898;. ;1.027;1.027;. ;5.947;5.947;. ;1.924;1.924;. ;. ;. ;. 
;;Particular;7.805;7.805;. ;1.027;1.027;. ;5.422;5.422;. ;1.356;1.356;. ;. ;. ;. 
;;Comun/Confes;1.093;1.093;. ;. ;. ;. ;525;525;. ;568;568;. ;. ;. ;. 
Roraima;;;1.668;1.583;85;449;364;85;. ;. ;. ;1.109;1.109;. ;110;110;. 
;Pública;;559;474;85;449;364;85;. ;. ;. ;. ;. ;. ;110;110;. 
;;Federal;423;423;. ;313;313;. ;. ;. ;. ;. ;. ;. ;110;110;. 
;;Estadual;136;51;85;136;51;85;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;1.109;1.109;. ;. ;. ;. ;. ;. ;. ;1.109;1.109;. ;. ;. ;. 
;;Particular;1.032;1.032;. ;. ;. ;. ;. ;. ;. ;1.032;1.032;. ;. ;. ;. 
;;Comun/Confes;77;77;. ;. ;. ;. ;. ;. ;. ;77;77;. ;. ;. ;. 
Pará;;;15.375;10.165;5.210;10.129;6.083;4.046;1.055;843;212;4.018;3.067;951;173;172;1
;Pública;;8.949;5.478;3.471;8.776;5.306;3.470;. ;. ;. ;. ;. ;. ;173;172;1
;;Federal;7.535;4.751;2.784;7.362;4.579;2.783;. ;. ;. ;. ;. ;. ;173;172;1
;;Estadual;1.414;727;687;1.414;727;687;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;6.426;4.687;1.739;1.353;777;576;1.055;843;212;4.018;3.067;951;. ;. ;. 
;;Particular;6.167;4.668;1.499;1.353;777;576;843;843;. ;3.971;3.048;923;. ;. ;. 
;;Comun/Confes;259;19;240;. ;. ;. ;212;. ;212;47;19;28;. ;. ;. 
Amapá;;;1.998;1.665;333;526;444;82;. ;. ;. ;1.472;1.221;251;. ;. ;. 
;Pública;;526;444;82;526;444;82;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Federal;526;444;82;526;444;82;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Estadual;0;0;. ;0;0;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;1.472;1.221;251;. ;. ;. ;. ;. ;. ;1.472;1.221;251;. ;. ;. 
;;Particular;1.472;1.221;251;. ;. ;. ;. ;. ;. ;1.472;1.221;251;. ;. ;. 
;;Comun/Confes;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
Tocantins;;;4.379;1.691;2.688;1.301;569;732;1.578;776;802;1.480;326;1.154;20;20;0
;Pública;;2.123;589;1.534;1.301;569;732;802;. ;802;. ;. ;. ;20;20;0
;;Federal;1.270;538;732;1.250;518;732;. ;. ;. ;. ;. ;. ;20;20;0
;;Estadual;51;51;. ;51;51;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;802;. ;802;. ;. ;. ;802;. ;802;. ;. ;. ;. ;. ;. 
;Privada;;2.256;1.102;1.154;. ;. ;. ;776;776;. ;1.480;326;1.154;. ;. ;. 
;;Particular;1.227;244;983;. ;. ;. ;. ;. ;. ;1.227;244;983;. ;. ;. 
;;Comun/Confes;1.029;858;171;. ;. ;. ;776;776;. ;253;82;171;. ;. ;. 
;;;;;;;;;;;;;;;;;
Nordeste;;;130.829;83.844;46.985;64.523;44.395;20.128;7.659;7.659;. ;56.883;30.739;26.144;1.764;1.051;713
;Pública;;50.242;27.287;22.955;45.743;26.142;19.601;. ;. ;. ;2.735;94;2.641;1.764;1.051;713
;;Federal;26.818;21.769;5.049;25.054;20.718;4.336;. ;. ;. ;. ;. ;. ;1.764;1.051;713
;;Estadual;20.783;5.518;15.265;20.689;5.424;15.265;. ;. ;. ;94;94;. ;. ;. ;. 
;;Municipal;2.641;. ;2.641;. ;. ;. ;. ;. ;. ;2.641;. ;2.641;. ;. ;. 
;Privada;;80.587;56.557;24.030;18.780;18.253;527;7.659;7.659;. ;54.148;30.645;23.503;. ;. ;. 
;;Particular;71.180;48.707;22.473;13.159;12.632;527;6.532;6.532;. ;51.489;29.543;21.946;. ;. ;. 
;;Comun/Confes;9.407;7.850;1.557;5.621;5.621;. ;1.127;1.127;. ;2.659;1.102;1.557;. ;. ;. 
;;;;;;;;;;;;;;;;;
Maranhão;;;10.554;7.101;3.453;4.085;2.976;1.109;2.634;2.634;. ;3.770;1.426;2.344;65;65;0
;Pública;;4.150;3.041;1.109;4.085;2.976;1.109;. ;. ;. ;. ;. ;. ;65;65;0
;;Federal;2.768;2.614;154;2.703;2.549;154;. ;. ;. ;. ;. ;. ;65;65;0
;;Estadual;1.382;427;955;1.382;427;955;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;6.404;4.060;2.344;. ;. ;. ;2.634;2.634;. ;3.770;1.426;2.344;. ;. ;. 
;;Particular;6.151;3.958;2.193;. ;. ;. ;2.634;2.634;. ;3.517;1.324;2.193;. ;. ;. 
;;Comun/Confes;253;102;151;. ;. ;. ;. ;. ;. ;253;102;151;. ;. ;. 
Piauí;;;10.557;6.272;4.285;5.951;2.687;3.264;. ;. ;. ;4.525;3.511;1.014;81;74;7
;Pública;;6.032;2.761;3.271;5.951;2.687;3.264;. ;. ;. ;0;0;. ;81;74;7
;;Federal;1.636;1.445;191;1.555;1.371;184;. ;. ;. ;. ;. ;. ;81;74;7
;;Estadual;4.396;1.316;3.080;4.396;1.316;3.080;. ;. ;. ;0;0;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;4.525;3.511;1.014;. ;. ;. ;. ;. ;. ;4.525;3.511;1.014;. ;. ;. 
;;Particular;4.525;3.511;1.014;. ;. ;. ;. ;. ;. ;4.525;3.511;1.014;. ;. ;. 
;;Comun/Confes;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
Ceará;;;15.861;11.847;4.014;10.109;7.536;2.573;. ;. ;. ;5.184;4.079;1.105;568;232;336
;Pública;;7.229;4.320;2.909;6.661;4.088;2.573;. ;. ;. ;. ;. ;. ;568;232;336
;;Federal;2.928;2.524;404;2.360;2.292;68;. ;. ;. ;. ;. ;. ;568;232;336
;;Estadual;4.301;1.796;2.505;4.301;1.796;2.505;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;8.632;7.527;1.105;3.448;3.448;. ;. ;. ;. ;5.184;4.079;1.105;. ;. ;. 
;;Particular;8.189;7.430;759;3.448;3.448;. ;. ;. ;. ;4.741;3.982;759;. ;. ;. 
;;Comun/Confes;443;97;346;. ;. ;. ;. ;. ;. ;443;97;346;. ;. ;. 
Rio Grande do Norte;;;11.318;8.834;2.484;8.772;6.749;2.023;. ;. ;. ;2.335;1.874;461;211;211;0
;Pública;;4.495;2.904;1.591;4.190;2.599;1.591;. ;. ;. ;94;94;. ;211;211;0
;;Federal;3.650;2.761;889;3.439;2.550;889;. ;. ;. ;. ;. ;. ;211;211;0
;;Estadual;845;143;702;751;49;702;. ;. ;. ;94;94;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;6.823;5.930;893;4.582;4.150;432;. ;. ;. ;2.241;1.780;461;. ;. ;. 
;;Particular;6.794;5.930;864;4.582;4.150;432;. ;. ;. ;2.212;1.780;432;. ;. ;. 
;;Comun/Confes;29;. ;29;. ;. ;. ;. ;. ;. ;29;. ;29;. ;. ;. 
Paraíba;;;8.015;5.388;2.627;4.032;2.522;1.510;1.127;1.127;. ;2.586;1.490;1.096;270;249;21
;Pública;;4.302;2.771;1.531;4.032;2.522;1.510;. ;. ;. ;. ;. ;. ;270;249;21
;;Federal;4.185;2.771;1.414;3.915;2.522;1.393;. ;. ;. ;. ;. ;. ;270;249;21
;;Estadual;117;0;117;117;0;117;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;3.713;2.617;1.096;. ;. ;. ;1.127;1.127;. ;2.586;1.490;1.096;. ;. ;. 
;;Particular;2.586;1.490;1.096;. ;. ;. ;. ;. ;. ;2.586;1.490;1.096;. ;. ;. 
;;Comun/Confes;1.127;1.127;. ;. ;. ;. ;1.127;1.127;. ;. ;. ;. ;. ;. ;. 
Pernambuco;;;23.307;13.566;9.741;8.386;6.928;1.458;. ;. ;. ;14.722;6.539;8.183;199;99;100
;Pública;;8.806;4.607;4.199;5.966;4.508;1.458;. ;. ;. ;2.641;. ;2.641;199;99;100
;;Federal;4.079;3.879;200;3.880;3.780;100;. ;. ;. ;. ;. ;. ;199;99;100
;;Estadual;2.086;728;1.358;2.086;728;1.358;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;2.641;. ;2.641;. ;. ;. ;. ;. ;. ;2.641;. ;2.641;. ;. ;. 
;Privada;;14.501;8.959;5.542;2.420;2.420;. ;. ;. ;. ;12.081;6.539;5.542;. ;. ;. 
;;Particular;11.541;6.651;4.890;676;676;. ;. ;. ;. ;10.865;5.975;4.890;. ;. ;. 
;;Comun/Confes;2.960;2.308;652;1.744;1.744;. ;. ;. ;. ;1.216;564;652;. ;. ;. 
Alagoas;;;8.180;6.404;1.776;4.161;2.858;1.303;. ;. ;. ;3.755;3.531;224;264;15;249
;Pública;;4.425;2.873;1.552;4.161;2.858;1.303;. ;. ;. ;. ;. ;. ;264;15;249
;;Federal;3.024;2.606;418;2.760;2.591;169;. ;. ;. ;. ;. ;. ;264;15;249
;;Estadual;1.401;267;1.134;1.401;267;1.134;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;3.755;3.531;224;. ;. ;. ;. ;. ;. ;3.755;3.531;224;. ;. ;. 
;;Particular;3.754;3.531;223;. ;. ;. ;. ;. ;. ;3.754;3.531;223;. ;. ;. 
;;Comun/Confes;1;. ;1;. ;. ;. ;. ;. ;. ;1;. ;1;. ;. ;. 
Sergipe;;;5.573;4.000;1.573;4.296;2.947;1.349;. ;. ;. ;1.240;1.016;224;37;37;0
;Pública;;1.436;182;1.254;1.399;145;1.254;. ;. ;. ;. ;. ;. ;37;37;0
;;Federal;1.436;182;1.254;1.399;145;1.254;. ;. ;. ;. ;. ;. ;37;37;0
;;Estadual;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;4.137;3.818;319;2.897;2.802;95;. ;. ;. ;1.240;1.016;224;. ;. ;. 
;;Particular;4.137;3.818;319;2.897;2.802;95;. ;. ;. ;1.240;1.016;224;. ;. ;. 
;;Comun/Confes;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
Bahia;;;37.464;20.432;17.032;14.731;9.192;5.539;3.898;3.898;. ;18.766;7.273;11.493;69;69;0
;Pública;;9.367;3.828;5.539;9.298;3.759;5.539;. ;. ;. ;. ;. ;. ;69;69;0
;;Federal;3.112;2.987;125;3.043;2.918;125;. ;. ;. ;. ;. ;. ;69;69;0
;;Estadual;6.255;841;5.414;6.255;841;5.414;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;28.097;16.604;11.493;5.433;5.433;0;3.898;3.898;. ;18.766;7.273;11.493;. ;. ;. 
;;Particular;23.503;12.388;11.115;1.556;1.556;0;3.898;3.898;. ;18.049;6.934;11.115;. ;. ;. 
;;Comun/Confes;4.594;4.216;378;3.877;3.877;. ;. ;. ;. ;717;339;378;. ;. ;. 
;;;;;;;;;;;;;;;;;
Sudeste;;;447.811;177.649;270.162;228.236;104.896;123.340;94.332;39.149;55.183;123.222;32.544;90.678;2.021;1.060;961
;Pública;;61.427;21.800;39.627;46.792;17.723;29.069;669;18;651;11.945;2.999;8.946;2.021;1.060;961
;;Federal;27.595;12.917;14.678;25.311;11.730;13.581;. ;. ;. ;263;127;136;2.021;1.060;961
;;Estadual;24.562;8.883;15.679;18.226;5.993;12.233;18;18;. ;6.318;2.872;3.446;. ;. ;. 
;;Municipal;9.270;. ;9.270;3.255;. ;3.255;651;. ;651;5.364;. ;5.364;. ;. ;. 
;Privada;;386.384;155.849;230.535;181.444;87.173;94.271;93.663;39.131;54.532;111.277;29.545;81.732;. ;. ;. 
;;Particular;310.651;130.644;180.007;139.567;68.695;70.872;70.965;35.040;35.925;100.119;26.909;73.210;. ;. ;. 
;;Comun/Confes;75.733;25.205;50.528;41.877;18.478;23.399;22.698;4.091;18.607;11.158;2.636;8.522;. ;. ;. 
;;;;;;;;;;;;;;;;;
Minas Gerais;;;90.187;27.710;62.477;43.037;12.705;30.332;17.149;8.462;8.687;29.085;6.234;22.851;916;309;607
;Pública;;16.504;5.360;11.144;14.391;4.489;9.902;. ;. ;. ;1.197;562;635;916;309;607
;;Federal;13.519;4.434;9.085;12.603;4.125;8.478;. ;. ;. ;. ;. ;. ;916;309;607
;;Estadual;2.506;926;1.580;1.788;364;1.424;. ;. ;. ;718;562;156;. ;. ;. 
;;Municipal;479;. ;479;. ;. ;. ;. ;. ;. ;479;. ;479;. ;. ;. 
;Privada;;73.683;22.350;51.333;28.646;8.216;20.430;17.149;8.462;8.687;27.888;5.672;22.216;. ;. ;. 
;;Particular;49.685;14.475;35.210;15.260;1.173;14.087;11.354;7.858;3.496;23.071;5.444;17.627;. ;. ;. 
;;Comun/Confes;23.998;7.875;16.123;13.386;7.043;6.343;5.795;604;5.191;4.817;228;4.589;. ;. ;. 
Espírito Santo;;;14.363;5.711;8.652;1.745;1.628;117;2.849;. ;2.849;9.642;4.063;5.579;127;20;107
;Pública;;2.135;1.677;458;1.745;1.628;117;. ;. ;. ;263;29;234;127;20;107
;;Federal;1.872;1.648;224;1.745;1.628;117;. ;. ;. ;. ;. ;. ;127;20;107
;;Estadual;29;29;. ;. ;. ;. ;. ;. ;. ;29;29;. ;. ;. ;. 
;;Municipal;234;. ;234;. ;. ;. ;. ;. ;. ;234;. ;234;. ;. ;. 
;Privada;;12.228;4.034;8.194;. ;. ;. ;2.849;. ;2.849;9.379;4.034;5.345;. ;. ;. 
;;Particular;9.747;2.961;6.786;. ;. ;. ;2.014;. ;2.014;7.733;2.961;4.772;. ;. ;. 
;;Comun/Confes;2.481;1.073;1.408;. ;. ;. ;835;. ;835;1.646;1.073;573;. ;. ;. 
Rio de Janeiro;;;80.412;46.787;33.625;50.927;27.901;23.026;19.419;12.549;6.870;9.617;6.135;3.482;449;202;247
;Pública;;12.797;7.447;5.350;11.445;6.827;4.618;18;18;. ;885;400;485;449;202;247
;;Federal;10.311;6.066;4.245;9.735;5.737;3.998;. ;. ;. ;127;127;. ;449;202;247
;;Estadual;2.452;1.381;1.071;1.710;1.090;620;18;18;. ;724;273;451;. ;. ;. 
;;Municipal;34;. ;34;. ;. ;. ;. ;. ;. ;34;. ;34;. ;. ;. 
;Privada;;67.615;39.340;28.275;39.482;21.074;18.408;19.401;12.531;6.870;8.732;5.735;2.997;. ;. ;. 
;;Particular;60.848;35.151;25.697;34.749;17.424;17.325;18.523;12.312;6.211;7.576;5.415;2.161;. ;. ;. 
;;Comun/Confes;6.767;4.189;2.578;4.733;3.650;1.083;878;219;659;1.156;320;836;. ;. ;. 
São Paulo;;;262.849;97.441;165.408;132.527;62.662;69.865;54.915;18.138;36.777;74.878;16.112;58.766;529;529;0
;Pública;;29.991;7.316;22.675;19.211;4.779;14.432;651;. ;651;9.600;2.008;7.592;529;529;0
;;Federal;1.893;769;1.124;1.228;240;988;. ;. ;. ;136;. ;136;529;529;0
;;Estadual;19.575;6.547;13.028;14.728;4.539;10.189;. ;. ;. ;4.847;2.008;2.839;. ;. ;. 
;;Municipal;8.523;. ;8.523;3.255;. ;3.255;651;. ;651;4.617;. ;4.617;. ;. ;. 
;Privada;;232.858;90.125;142.733;113.316;57.883;55.433;54.264;18.138;36.126;65.278;14.104;51.174;. ;. ;. 
;;Particular;190.371;78.057;112.314;89.558;50.098;39.460;39.074;14.870;24.204;61.739;13.089;48.650;. ;. ;. 
;;Comun/Confes;42.487;12.068;30.419;23.758;7.785;15.973;15.190;3.268;11.922;3.539;1.015;2.524;. ;. ;. 
;;;;;;;;;;;;;;;;;
Sul;;;136.337;33.756;102.581;82.121;19.705;62.416;15.483;3.984;11.499;38.471;10.003;28.468;262;64;198
;Pública;;39.152;10.371;28.781;35.862;10.080;25.782;812;. ;812;2.216;227;1.989;262;64;198
;;Federal;14.201;9.429;4.772;13.939;9.365;4.574;. ;. ;. ;. ;. ;. ;262;64;198
;;Estadual;18.721;942;17.779;16.749;715;16.034;. ;. ;. ;1.972;227;1.745;. ;. ;. 
;;Municipal;6.230;. ;6.230;5.174;. ;5.174;812;. ;812;244;. ;244;. ;. ;. 
;Privada;;97.185;23.385;73.800;46.259;9.625;36.634;14.671;3.984;10.687;36.255;9.776;26.479;. ;. ;. 
;;Particular;46.914;13.578;33.336;9.615;2.616;6.999;5.431;1.953;3.478;31.868;9.009;22.859;. ;. ;. 
;;Comun/Confes;50.271;9.807;40.464;36.644;7.009;29.635;9.240;2.031;7.209;4.387;767;3.620;. ;. ;. 
;;;;;;;;;;;;;;;;;
Paraná;;;59.779;17.474;42.305;32.013;9.228;22.785;5.019;1.806;3.213;22.724;6.417;16.307;23;23;. 
;Pública;;21.573;3.780;17.793;19.045;3.530;15.515;289;. ;289;2.216;227;1.989;23;23;. 
;;Federal;4.500;3.553;947;4.477;3.530;947;. ;. ;. ;. ;. ;. ;23;23;. 
;;Estadual;16.540;227;16.313;14.568;. ;14.568;. ;. ;. ;1.972;227;1.745;. ;. ;. 
;;Municipal;533;. ;533;. ;. ;. ;289;. ;289;244;. ;244;. ;. ;. 
;Privada;;38.206;13.694;24.512;12.968;5.698;7.270;4.730;1.806;2.924;20.508;6.190;14.318;. ;. ;. 
;;Particular;32.046;9.614;22.432;8.795;2.616;6.179;3.987;1.484;2.503;19.264;5.514;13.750;. ;. ;. 
;;Comun/Confes;6.160;4.080;2.080;4.173;3.082;1.091;743;322;421;1.244;676;568;. ;. ;. 
Santa Catarina;;;30.133;5.022;25.111;18.958;3.621;15.337;2.426;0;2.426;8.681;1.360;7.321;68;41;27
;Pública;;9.905;3.399;6.506;9.314;3.358;5.956;523;. ;523;. ;. ;. ;68;41;27
;;Federal;2.789;2.762;27;2.721;2.721;0;. ;. ;. ;. ;. ;. ;68;41;27
;;Estadual;1.419;637;782;1.419;637;782;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;5.697;. ;5.697;5.174;. ;5.174;523;. ;523;. ;. ;. ;. ;. ;. 
;Privada;;20.228;1.623;18.605;9.644;263;9.381;1.903;0;1.903;8.681;1.360;7.321;. ;. ;. 
;;Particular;8.740;1.285;7.455;820;. ;820;666;. ;666;7.254;1.285;5.969;. ;. ;. 
;;Comun/Confes;11.488;338;11.150;8.824;263;8.561;1.237;0;1.237;1.427;75;1.352;. ;. ;. 
Rio Grande do Sul;;;46.425;11.260;35.165;31.150;6.856;24.294;8.038;2.178;5.860;7.066;2.226;4.840;171;. ;171
;Pública;;7.674;3.192;4.482;7.503;3.192;4.311;. ;. ;. ;. ;. ;. ;171;. ;171
;;Federal;6.912;3.114;3.798;6.741;3.114;3.627;. ;. ;. ;. ;. ;. ;171;. ;171
;;Estadual;762;78;684;762;78;684;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;38.751;8.068;30.683;23.647;3.664;19.983;8.038;2.178;5.860;7.066;2.226;4.840;. ;. ;. 
;;Particular;6.128;2.679;3.449;. ;. ;. ;778;469;309;5.350;2.210;3.140;. ;. ;. 
;;Comun/Confes;32.623;5.389;27.234;23.647;3.664;19.983;7.260;1.709;5.551;1.716;16;1.700;. ;. ;. 
;;;;;;;;;;;;;;;;;
Centro-Oeste;;;68.359;43.273;25.086;32.748;22.675;10.073;11.705;7.952;3.753;23.391;12.329;11.062;515;317;198
;Pública;;18.742;8.114;10.628;17.618;7.712;9.906;. ;. ;. ;609;85;524;515;317;198
;;Federal;9.750;7.608;2.142;9.235;7.291;1.944;. ;. ;. ;. ;. ;. ;515;317;198
;;Estadual;7.617;506;7.111;7.532;421;7.111;. ;. ;. ;85;85;. ;. ;. ;. 
;;Municipal;1.375;. ;1.375;851;. ;851;. ;. ;. ;524;. ;524;. ;. ;. 
;Privada;;49.617;35.159;14.458;15.130;14.963;167;11.705;7.952;3.753;22.782;12.244;10.538;. ;. ;. 
;;Particular;42.529;29.366;13.163;9.476;9.369;107;11.078;7.952;3.126;21.975;12.045;9.930;. ;. ;. 
;;Comun/Confes;7.088;5.793;1.295;5.654;5.594;60;627;. ;627;807;199;608;. ;. ;. 
;;;;;;;;;;;;;;;;;
Mato Grosso do Sul;;;12.357;6.197;6.160;7.969;5.160;2.809;1.625;442;1.183;2.763;595;2.168;. ;. ;. 
;Pública;;3.644;996;2.648;3.644;996;2.648;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Federal;2.093;902;1.191;2.093;902;1.191;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Estadual;1.551;94;1.457;1.551;94;1.457;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;8.713;5.201;3.512;4.325;4.164;161;1.625;442;1.183;2.763;595;2.168;. ;. ;. 
;;Particular;6.784;3.512;3.272;2.582;2.475;107;1.625;442;1.183;2.577;595;1.982;. ;. ;. 
